artist,stage,start_time,end_time,day,image_url
"Whipped Cream","Zoom Room","8:30 PM","9:30 PM","Saturday","https://2025-ubbidubbifestival-com.imgix.net/2024/11/07d0fe9c-careline-2-@zeustate.jpeg?ar=1:1&fit=crop&crop=faces,entropy&w=200"
"Beauz","Zoom Room","7:30 PM","8:30 PM","Saturday","https://2025-ubbidubbifestival-com.imgix.net/2024/11/c032210c-press-photo-2024.jpg?ar=1:1&fit=crop&crop=faces,entropy&w=200"
"Skybreak","Zoom Room","6:30 PM","7:30 PM","Saturday","https://2025-ubbidubbifestival-com.imgix.net/2025/01/803a0a39-ashwath_1.jpg?ar=1:1&fit=crop&crop=faces,entropy&w=200"
"Neotek","Zoom Room","5:30 PM","6:30 PM","Saturday","https://2025-ubbidubbifestival-com.imgix.net/2024/11/7d0b25ee-221125-neotek-pressshots-colour-065.jpg?ar=1:1&fit=crop&crop=faces,entropy&w=200"
"Skyler","Zoom Room","4:30 PM","5:30 PM","Saturday","https://2025-ubbidubbifestival-com.imgix.net/2025/01/0b2376d4-photo-dec-15-2023-10-53-03-pm.jpg?ar=1:1&fit=crop&crop=faces,entropy&w=200"
"Hazea","Zoom Room","3:00 PM","4:30 PM","Saturday","https://2025-ubbidubbifestival-com.imgix.net/2025/03/33ec6119-463344314_850094887321605_6940674099833414881_n.jpg?ar=1:1&fit=crop&crop=faces,entropy&w=200"
"Fisher","Ubbi’s Stage","8:30 PM","10:00 PM","Sunday","https://2025-ubbidubbifestival-com.imgix.net/2024/11/7d7cead0-fisher_sunglassesfix.png?ar=1:1&fit=crop&crop=faces,entropy&w=200"
"Dombresky B2B Patrick Topping","Ubbi’s Stage","7:15 PM","8:30 PM","Sunday","https://2025-ubbidubbifestival-com.imgix.net/2025/01/05643949-2025-press-pic-updated.jpg?ar=1:1&fit=crop&crop=faces,entropy&w=200"
"Dimension","Ubbi’s Stage","6:15 PM","7:15 PM","Sunday","https://2025-ubbidubbifestival-com.imgix.net/2025/01/4bc0873b-dimension_shot04_174_web.jpg?ar=1:1&fit=crop&crop=faces,entropy&w=200"
"Dr. Fresch","Ubbi’s Stage","5:15 PM","6:15 PM","Sunday","https://2025-ubbidubbifestival-com.imgix.net/2025/01/2c874019-2024-03-05_drfresch_1070-1.jpg?ar=1:1&fit=crop&crop=faces,entropy&w=200"
"Sunday Scaries","Ubbi’s Stage","4:25 PM","5:15 PM","Sunday","https://2025-ubbidubbifestival-com.imgix.net/2025/01/910b3923-0f0a7903.jpg?ar=1:1&fit=crop&crop=faces,entropy&w=200"
"Mattilo","Ubbi’s Stage","3:35 PM","4:25 PM","Sunday","https://2025-ubbidubbifestival-com.imgix.net/2025/01/b7e6ab65-mattilo_alternate_fullbody.jpg?ar=1:1&fit=crop&crop=faces,entropy&w=200"
"Tubbi","Ubbi’s Stage","3:00 PM","3:35 PM","Sunday",""
"Boogie T B2B Dirt Monkey","Dubbi’s Stage","9:00 PM","10:00 PM","Sunday","https://2025-ubbidubbifestival-com.imgix.net/2024/11/06b9d356-boogie-t_press-shot-4.jpg?ar=1:1&fit=crop&crop=faces,entropy&w=200"
"Inzo","Dubbi’s Stage","8:00 PM","9:00 PM","Sunday","https://2025-ubbidubbifestival-com.imgix.net/2025/01/eac090d6-img_3315.jpg?ar=1:1&fit=crop&crop=faces,entropy&w=200"
"Borgore","Dubbi’s Stage","7:00 PM","8:00 PM","Sunday","https://2025-ubbidubbifestival-com.imgix.net/2025/01/2708b6aa-af7i3119-2.jpg?ar=1:1&fit=crop&crop=faces,entropy&w=200"
"Hvdes","Dubbi’s Stage","6:10 PM","7:00 PM","Sunday","https://2025-ubbidubbifestival-com.imgix.net/2025/01/d0a0f761-hvdes-2.heic?ar=1:1&fit=crop&crop=faces,entropy&w=200"
"Eddie","Dubbi’s Stage","5:20 PM","6:10 PM","Sunday","https://2025-ubbidubbifestival-com.imgix.net/2025/01/166049ab-main-press-pic-q1-2024-10.jpg?ar=1:1&fit=crop&crop=faces,entropy&w=200"
"Brux","Dubbi’s Stage","4:30 PM","5:20 PM","Sunday","https://2025-ubbidubbifestival-com.imgix.net/2025/01/d66a4a98-brux-press1.png?ar=1:1&fit=crop&crop=faces,entropy&w=200"
"Zoska","Dubbi’s Stage","3:40 PM","4:30 PM","Sunday","https://2025-ubbidubbifestival-com.imgix.net/2024/11/31a78d1a-main-choice-2.jpg?ar=1:1&fit=crop&crop=faces,entropy&w=200"
"Mad Muffinz","Dubbi’s Stage","3:00 PM","3:40 PM","Sunday","https://2025-ubbidubbifestival-com.imgix.net/2025/03/83358bb6-dsc_9507-enhanced-nr.jpg?ar=1:1&fit=crop&crop=faces,entropy&w=200"
"Lil Texas","Zoom Room","8:45 PM","10:00 PM","Sunday",""
"Gravedgr","Zoom Room","7:45 PM","8:45 PM","Sunday","https://2025-ubbidubbifestival-com.imgix.net/2025/01/86710c6b-gravedgr_shootingvalencia-30.jpg?ar=1:1&fit=crop&crop=faces,entropy&w=200"
"Jstjr","Zoom Room","6:45 PM","7:45 PM","Sunday","https://2025-ubbidubbifestival-com.imgix.net/2024/11/7bf1354a-jstjr_s2024_12.png?ar=1:1&fit=crop&crop=faces,entropy&w=200"
"Yosuf","Zoom Room","5:45 PM","6:45 PM","Sunday",""
"Dead X","Zoom Room","4:55 PM","5:45 PM","Sunday",""
"Aych","Zoom Room","3:00 PM","4:05 PM","Sunday","https://2025-ubbidubbifestival-com.imgix.net/2025/03/2f2de709-dsc08667.jpg?ar=1:1&fit=crop&crop=faces,entropy&w=200"
